Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2013-09-03,493.1,500.6,487.35,488.58,11854600.0,0.0,1.0,63.44821961672889,64.4132604748215,62.70835495885789,62.86662165958508,82982200.0
2013-09-04,499.56,502.24,496.28,498.691,12322600.0,0.0,1.0,64.27944147583266,64.62428274245775,63.85739694056016,64.16762540840833,86258200.0
2013-09-05,500.25,500.68,493.64,495.27,8441700.0,0.0,1.0,64.36822523477719,64.4235542439745,63.51770255851156,63.727438105003685,59091900.0
2013-09-06,498.44,499.38,489.95,498.22,12840200.0,0.0,1.0,64.13532870769083,64.25628049523844,63.04290245632999,64.10702084252011,89881400.0
2013-09-09,505.0,507.92,503.48,506.17,12167400.0,0.0,1.0,64.97941777823584,65.35514035231989,64.78383616432907,65.12996415209828,85171800.0
2013-09-10,506.2,507.45,489.5,494.64,26542700.0,0.0,1.0,65.13382431553065,65.29466445854608,62.98500000484444,63.646374672923905,185798900.0
2013-09-11,467.0101,473.69,464.81,467.71,32096300.0,0.0,1.0,60.091177018922174,60.950693875985216,59.808085500003564,60.18123463179937,224674100.0
2013-09-12,468.5,475.4,466.01,472.69,14430400.0,0.0,1.0,60.282885602185125,61.17072319163032,59.962492037298375,60.82202176157286,101012800.0
2013-09-13,469.3402,471.8292,464.7,464.9,10672700.0,0.0,1.0,60.39099591271438,60.71126080548672,59.7939315674182,59.81966599030067,74708900.0
2013-09-16,461.0,461.6099,447.22,450.12,19418100.0,0.0,1.0,59.31784474409251,59.3963218666726,57.54474300749036,57.91789213928617,135926700.0
2013-09-17,447.96,459.71,447.5,455.32,14263600.0,0.0,1.0,57.63996037215549,59.15185771650058,57.58077119952581,58.58698713423038,99845200.0
2013-09-18,463.18,466.35,460.66,464.68,16316500.0,0.0,1.0,59.59834995351144,60.00624055619858,59.27409622519232,59.79135812512995,114215500.0
2013-09-19,470.7,475.83,469.25,472.3,14447900.0,0.0,1.0,60.56596425389229,61.22605220082764,60.37938968799439,60.77183963695205,101135300.0
2013-09-20,478.0,478.55,466.0,467.41,24975100.0,0.0,1.0,61.50527068910243,61.576040352029224,59.961205316154256,60.14263299747567,174825700.0
2013-09-23,496.1,496.91,482.6,490.64,27218100.0,0.0,1.0,63.83423595996594,63.93846037263994,62.09716241539924,63.13168621527451,190526700.0
2013-09-24,494.88,495.47,487.82,489.1,13012300.0,0.0,1.0,63.67725598038287,63.75317252788616,62.768830852631694,62.9335311590795,91086100.0
2013-09-25,489.2,489.64,481.4301,481.53,11319900.0,0.0,1.0,62.94639837052073,63.00301410086217,61.946628908748224,61.95948325297802,79239300.0
2013-09-26,486.0,488.56,483.9,486.22,8472200.0,0.0,1.0,62.53464760440122,62.86404821729683,62.26443616413528,62.56295546957194,59305400.0
2013-09-27,483.78,484.67,480.72,482.75,8144300.0,0.0,1.0,62.248995510405805,62.3635136922328,61.855258840304025,62.11646323256109,57010100.0
2013-09-30,477.25,481.66,474.411,476.75,9291300.0,0.0,1.0,61.408766603293174,61.97621062785163,61.04346647047652,61.344430546087,65039100.0
2013-10-01,478.45,489.14,478.381,487.96,12638700.0,0.0,1.0,61.56317314058799,62.93867804365599,61.55429476469354,62.78684494864942,88470900.0
2013-10-02,485.63,491.8,483.75,489.56,10328000.0,0.0,1.0,62.48703892206865,63.28094586799284,62.245135346973434,62.99272033170918,72296000.0
2013-10-03,490.51,492.35,480.7387,483.41,11526900.0,0.0,1.0,63.11495884040091,63.351715530919634,61.85766500884353,62.20138682807324,80688300.0
2013-10-04,483.86,484.6,478.6,483.03,9245300.0,0.0,1.0,62.25928927955879,62.35450664422393,61.58247395774985,62.15249142459654,64717100.0
2013-10-07,486.56,492.65,485.35,487.75,11153300.0,0.0,1.0,62.606703988472134,63.39031716524333,62.4510107300332,62.759823804622826,78073100.0
2013-10-08,489.94,490.64,480.54,480.94,10389900.0,0.0,1.0,63.04161573518587,63.13168621527451,61.8320978597098,61.883566705474735,72729300.0
2013-10-09,484.64,487.79,478.28,486.588,10775900.0,0.0,1.0,62.35965352880042,62.76497068919932,61.54129888113789,62.610306807675684,75431300.0
2013-10-10,491.32,492.38,487.04,489.638,9950100.0,0.0,1.0,63.21918325307491,63.355575694352,62.668466603390065,63.00275675663334,69650700.0
2013-10-11,486.99,493.84,485.16,492.812,9562100.0,0.0,1.0,62.66203299766944,63.543436981394024,62.42656302829485,63.411162047778134,66934700.0
2013-10-14,489.83,497.58,489.35,496.04,9353500.0,0.0,1.0,63.02746180260051,64.02467068929622,62.96569918768259,63.826515633101195,65474500.0
2013-10-15,497.505,502.0,495.52,498.68,11431200.0,0.0,1.0,64.01502028071529,64.5934014349988,63.75960613360677,64.1662100151498,80018400.0
2013-10-16,500.79,502.53,499.23,501.114,8967900.0,0.0,1.0,64.43770817655985,64.66159765563734,64.2369796780766,64.47939794162944,62775300.0
2013-10-17,499.98,504.78,499.68,504.5,9056900.0,0.0,1.0,64.33348376388585,64.95110991306511,64.29488212956214,64.91508172102967,63398300.0
2013-10-18,505.99,509.26,505.71,508.89,10376500.0,0.0,1.0,65.10680317150405,65.52756098563243,65.0707749794686,65.47995230329987,72635500.0
2013-10-21,511.77,524.3,511.52,521.362,14218100.0,0.0,1.0,65.85052799280743,67.46278958639415,65.81835996420435,67.08475091425068,99526700.0
2013-10-22,526.405,528.4496,508.03,519.8675,19073700.0,0.0,1.0,67.73364438723215,67.99672739235965,65.36929428490525,66.89245043926141,133515900.0
2013-10-23,519.0,525.67,519.0,524.96,11204400.0,0.0,1.0,66.7808273800087,67.63907038313907,66.7808273800087,67.5477131819063,78430800.0
2013-10-24,525.0,532.47,522.45,531.91,13741600.0,0.0,1.0,67.5528600664828,68.51404076114304,67.22474617473132,68.44198437707212,96191200.0
2013-10-25,531.315,533.23,525.11,525.958,12064000.0,0.0,1.0,68.36542446899678,68.61183156809642,67.56701399906815,67.67612795208983,84448000.0
2013-10-28,529.04,531.0,523.21,529.876,19658600.0,0.0,1.0,68.07269540870868,68.32489275295688,67.3225369816847,68.1802652963574,137610200.0
